ID,Student_Query,Priority
4380,"Internship deadline today, need NOC approval.",High
3951,I am unable to access exam hall ticket.,High
5489,Degree certificate required urgently for job.,High
979,Holiday list for this semester?,Low
4624,When does cafeteria open?,Low
5109,I want to change my elective subject.,Medium
2023,Is there any AI workshop this month?,Low
3521,I want to change my elective subject.,Medium
5282,Urgent: hostel fee payment not updated.,High
345,I am unable to access exam hall ticket.,High
5000,Is there any AI workshop this month?,Low
912,Request for bonafide certificate.,Medium
2437,When does cafeteria open?,Low
48,The assignment portal is not working before deadline.,High
4081,My scholarship has not been credited yet.,High
5196,Is there any AI workshop this month?,Low
444,Request for bonafide certificate.,Medium
3593,I need migration certificate process.,Medium
3131,Can I change my project guide?,Medium
2487,Holiday list for this semester?,Low
5709,The assignment portal is not working before deadline.,High
1894,When does cafeteria open?,Low
3018,Bus schedule for weekend?,Low
1221,Request for bonafide certificate.,Medium
3831,I need migration certificate process.,Medium
2269,How to join sports club?,Low
1056,"Internship deadline today, need NOC approval.",High
849,Is there any AI workshop this month?,Low
3893,Can I change my project guide?,Medium
5847,Urgent: hostel fee payment not updated.,High
3878,I need migration certificate process.,Medium
2743,How to reset student portal password?,Medium
5607,Where is the auditorium located?,Low
4281,I want to join a club in university.,Medium
1329,When will semester timetable be released?,Medium
2875,How can I apply for hostel change?,Medium
4631,The assignment portal is not working before deadline.,High
777,Please update my contact number.,Medium
5677,Where to collect ID card?,Low
184,How to apply for revaluation?,Medium
3130,Any cultural events this week?,Low
4099,My scholarship has not been credited yet.,High
1194,Is there any AI workshop this month?,Low
3649,My result shows absent but I attended exam.,High
735,My scholarship has not been credited yet.,High
1836,When does cafeteria open?,Low
2273,How can I apply for hostel change?,Medium
3794,How to reset student portal password?,Medium
486,My fee payment failed but amount deducted.,High
1164,What are library timings?,Low
453,Where is the auditorium located?,Low
2299,I missed my exam registration due to portal error.,High
4595,Can I change my project guide?,Medium
31,I want to join a club in university.,Medium
790,When does cafeteria open?,Low
5099,My result shows absent but I attended exam.,High
1966,My result shows absent but I attended exam.,High
1110,When will semester timetable be released?,Medium
101,I want to change my elective subject.,Medium
3971,I cannot submit my exam form and today is the last date.,High
3013,When does cafeteria open?,Low
3168,WiFi password for campus?,Low
4725,Request for bonafide certificate.,Medium
1771,My fee payment failed but amount deducted.,High
1920,Where is the auditorium located?,Low
3756,Any cultural events this week?,Low
4542,Holiday list for this semester?,Low
862,I cannot submit my exam form and today is the last date.,High
1502,Where to collect ID card?,Low
904,How to join sports club?,Low
5056,I need migration certificate process.,Medium
110,Bus schedule for weekend?,Low
5369,When will semester timetable be released?,Medium
5873,I cannot submit my exam form and today is the last date.,High
5035,When will semester timetable be released?,Medium
4398,Bus schedule for weekend?,Low
1927,Bus schedule for weekend?,Low
2134,When does cafeteria open?,Low
3526,How to apply for revaluation?,Medium
5862,WiFi password for campus?,Low
4651,WiFi password for campus?,Low
3672,How to apply for revaluation?,Medium
4394,Request for bonafide certificate.,Medium
3046,Any cultural events this week?,Low
5547,How to join sports club?,Low
5161,Where is the auditorium located?,Low
5639,When will semester timetable be released?,Medium
3887,How to apply for revaluation?,Medium
1095,WiFi password for campus?,Low
1122,I want to change my elective subject.,Medium
2517,I want to join a club in university.,Medium
2211,"Internship deadline today, need NOC approval.",High
810,I missed my exam registration due to portal error.,High
4253,Can I change my project guide?,Medium
3275,Please update my contact number.,Medium
5908,What are library timings?,Low
4344,Degree certificate required urgently for job.,High
5846,Please update my contact number.,Medium
5504,Urgent: hostel fee payment not updated.,High
5654,I want to join a club in university.,Medium
3945,When will semester timetable be released?,Medium
5040,How can I apply for hostel change?,Medium
2544,When will semester timetable be released?,Medium
1774,I want to join a club in university.,Medium
2847,I cannot submit my exam form and today is the last date.,High
5800,When will semester timetable be released?,Medium
1766,Holiday list for this semester?,Low
3898,Where is the auditorium located?,Low
5629,My scholarship has not been credited yet.,High
1757,Please update my contact number.,Medium
2347,The assignment portal is not working before deadline.,High
2997,I want to change my elective subject.,Medium
1596,I need migration certificate process.,Medium
5967,Where is the auditorium located?,Low
3253,"Internship deadline today, need NOC approval.",High
830,"Internship deadline today, need NOC approval.",High
5865,I am unable to access exam hall ticket.,High
1859,When does cafeteria open?,Low
439,Is there any AI workshop this month?,Low
628,My scholarship has not been credited yet.,High
5979,Can I change my project guide?,Medium
2880,I am unable to access exam hall ticket.,High
926,I want to change my elective subject.,Medium
4122,How to reset student portal password?,Medium
4875,When does cafeteria open?,Low
5737,How to join sports club?,Low
2866,WiFi password for campus?,Low
5952,Degree certificate required urgently for job.,High
1174,Urgent: hostel fee payment not updated.,High
3361,I am unable to access exam hall ticket.,High
3198,When does cafeteria open?,Low
945,I want to change my elective subject.,Medium
4770,I cannot submit my exam form and today is the last date.,High
2289,Can I change my project guide?,Medium
13,Urgent: hostel fee payment not updated.,High
1118,Is there any AI workshop this month?,Low
4366,My result shows absent but I attended exam.,High
3656,My fee payment failed but amount deducted.,High
5696,Holiday list for this semester?,Low
643,I am unable to access exam hall ticket.,High
2590,Bus schedule for weekend?,Low
4708,I need migration certificate process.,Medium
2679,I need migration certificate process.,Medium
4293,What are library timings?,Low
5080,How to reset student portal password?,Medium
5488,My fee payment failed but amount deducted.,High
2923,WiFi password for campus?,Low
2536,I need migration certificate process.,Medium
4766,I cannot submit my exam form and today is the last date.,High
2265,I want to join a club in university.,Medium
654,I want to change my elective subject.,Medium
430,My scholarship has not been credited yet.,High
3751,I want to join a club in university.,Medium
3316,How can I apply for hostel change?,Medium
2518,When does cafeteria open?,Low
4012,"Internship deadline today, need NOC approval.",High
3163,How to join sports club?,Low
3606,My fee payment failed but amount deducted.,High
839,How to join sports club?,Low
1088,I missed my exam registration due to portal error.,High
1729,My result shows absent but I attended exam.,High
5808,I am unable to access exam hall ticket.,High
1320,When will semester timetable be released?,Medium
1331,How to reset student portal password?,Medium
4155,My scholarship has not been credited yet.,High
857,Urgent: hostel fee payment not updated.,High
1420,My scholarship has not been credited yet.,High
2516,How to apply for revaluation?,Medium
2300,How can I apply for hostel change?,Medium
3537,I cannot submit my exam form and today is the last date.,High
1609,I missed my exam registration due to portal error.,High
5199,Where is the auditorium located?,Low
694,I want to change my elective subject.,Medium
4141,Please update my contact number.,Medium
2667,Bus schedule for weekend?,Low
189,My result shows absent but I attended exam.,High
288,Degree certificate required urgently for job.,High
3411,Can I change my project guide?,Medium
5537,What are library timings?,Low
4206,Is there any AI workshop this month?,Low
3967,How can I apply for hostel change?,Medium
3772,How to apply for revaluation?,Medium
3216,"Internship deadline today, need NOC approval.",High
2334,Any cultural events this week?,Low
5982,How to join sports club?,Low
4095,When does cafeteria open?,Low
2145,When does cafeteria open?,Low
2981,When will semester timetable be released?,Medium
211,How to reset student portal password?,Medium
5608,Request for bonafide certificate.,Medium
4997,I missed my exam registration due to portal error.,High
3107,"Internship deadline today, need NOC approval.",High
74,The assignment portal is not working before deadline.,High
5766,Holiday list for this semester?,Low
2829,WiFi password for campus?,Low
4783,I missed my exam registration due to portal error.,High
5945,I cannot submit my exam form and today is the last date.,High
4247,Can I change my project guide?,Medium
2822,What are library timings?,Low
3306,How to reset student portal password?,Medium
5595,I missed my exam registration due to portal error.,High
2146,Any cultural events this week?,Low
1232,I want to join a club in university.,Medium
5353,Can I change my project guide?,Medium
3341,Where is the auditorium located?,Low
5867,Where to collect ID card?,Low
4392,My result shows absent but I attended exam.,High
114,Bus schedule for weekend?,Low
5087,Is there any AI workshop this month?,Low
4260,I want to join a club in university.,Medium
5442,I want to join a club in university.,Medium
3196,My fee payment failed but amount deducted.,High
2457,Urgent: hostel fee payment not updated.,High
2949,My fee payment failed but amount deducted.,High
1840,Degree certificate required urgently for job.,High
1963,Where to collect ID card?,Low
1893,Where is the auditorium located?,Low
1826,WiFi password for campus?,Low
4340,Holiday list for this semester?,Low
4447,I need migration certificate process.,Medium
3459,I want to join a club in university.,Medium
3536,Where to collect ID card?,Low
253,Is there any AI workshop this month?,Low
351,Please update my contact number.,Medium
2759,Degree certificate required urgently for job.,High
4553,I want to join a club in university.,Medium
458,How can I apply for hostel change?,Medium
5845,My fee payment failed but amount deducted.,High
480,Degree certificate required urgently for job.,High
1115,I missed my exam registration due to portal error.,High
799,How to reset student portal password?,Medium
4222,Any cultural events this week?,Low
2674,What are library timings?,Low
3096,Is there any AI workshop this month?,Low
27,I want to change my elective subject.,Medium
3076,How can I apply for hostel change?,Medium
2751,I cannot submit my exam form and today is the last date.,High
3271,Degree certificate required urgently for job.,High
1748,Can I change my project guide?,Medium
1288,How to apply for revaluation?,Medium
1282,Holiday list for this semester?,Low
4935,My scholarship has not been credited yet.,High
2620,Degree certificate required urgently for job.,High
2064,Please update my contact number.,Medium
2192,How to join sports club?,Low
4650,Bus schedule for weekend?,Low
5155,My scholarship has not been credited yet.,High
4718,Urgent: hostel fee payment not updated.,High
1952,I want to change my elective subject.,Medium
4579,Urgent: hostel fee payment not updated.,High
2918,My result shows absent but I attended exam.,High
4936,I cannot submit my exam form and today is the last date.,High
608,I missed my exam registration due to portal error.,High
4094,I want to change my elective subject.,Medium
4804,I cannot submit my exam form and today is the last date.,High
3405,Is there any AI workshop this month?,Low
5857,"Internship deadline today, need NOC approval.",High
3942,Please update my contact number.,Medium
4853,How to join sports club?,Low
5894,I want to join a club in university.,Medium
4507,Can I change my project guide?,Medium
204,WiFi password for campus?,Low
340,How to apply for revaluation?,Medium
838,I am unable to access exam hall ticket.,High
4360,Please update my contact number.,Medium
388,I want to join a club in university.,Medium
4153,How can I apply for hostel change?,Medium
4823,Please update my contact number.,Medium
2577,Can I change my project guide?,Medium
3784,How can I apply for hostel change?,Medium
3024,My result shows absent but I attended exam.,High
3427,I cannot submit my exam form and today is the last date.,High
3384,Please update my contact number.,Medium
4666,When does cafeteria open?,Low
2234,What are library timings?,Low
1651,I cannot submit my exam form and today is the last date.,High
3248,How to reset student portal password?,Medium
4907,When does cafeteria open?,Low
678,How to apply for revaluation?,Medium
3862,WiFi password for campus?,Low
1540,I need migration certificate process.,Medium
1917,The assignment portal is not working before deadline.,High
62,I cannot submit my exam form and today is the last date.,High
3660,When does cafeteria open?,Low
4138,I am unable to access exam hall ticket.,High
4358,"Internship deadline today, need NOC approval.",High
1481,Where to collect ID card?,Low
791,Can I change my project guide?,Medium
1671,Where is the auditorium located?,Low
3209,My fee payment failed but amount deducted.,High
5435,I need migration certificate process.,Medium
3117,How to join sports club?,Low
4948,I missed my exam registration due to portal error.,High
4236,How to reset student portal password?,Medium
5342,The assignment portal is not working before deadline.,High
3750,I want to join a club in university.,Medium
4400,How to reset student portal password?,Medium
2597,Any cultural events this week?,Low
4005,Can I change my project guide?,Medium
2094,Request for bonafide certificate.,Medium
734,I cannot submit my exam form and today is the last date.,High
3691,Degree certificate required urgently for job.,High
4550,I cannot submit my exam form and today is the last date.,High
3957,I need migration certificate process.,Medium
5090,Urgent: hostel fee payment not updated.,High
1841,Any cultural events this week?,Low
2852,How can I apply for hostel change?,Medium
528,Where is the auditorium located?,Low
3304,I cannot submit my exam form and today is the last date.,High
5660,Holiday list for this semester?,Low
2510,Where to collect ID card?,Low
2229,Urgent: hostel fee payment not updated.,High
2095,I cannot submit my exam form and today is the last date.,High
4336,Where to collect ID card?,Low
804,How to join sports club?,Low
858,I want to join a club in university.,Medium
3471,"Internship deadline today, need NOC approval.",High
2419,How to reset student portal password?,Medium
2755,Can I change my project guide?,Medium
4680,The assignment portal is not working before deadline.,High
1644,Bus schedule for weekend?,Low
220,How to apply for revaluation?,Medium
5175,How to apply for revaluation?,Medium
1289,Bus schedule for weekend?,Low
1116,How can I apply for hostel change?,Medium
583,I want to join a club in university.,Medium
3162,I am unable to access exam hall ticket.,High
44,I cannot submit my exam form and today is the last date.,High
5772,Please update my contact number.,Medium
2452,What are library timings?,Low
5950,Any cultural events this week?,Low
1521,Bus schedule for weekend?,Low
3129,Bus schedule for weekend?,Low
2132,Where is the auditorium located?,Low
1745,Any cultural events this week?,Low
5790,I need migration certificate process.,Medium
1225,How to reset student portal password?,Medium
2800,Where to collect ID card?,Low
1072,Degree certificate required urgently for job.,High
719,How to join sports club?,Low
4357,Urgent: hostel fee payment not updated.,High
1962,Degree certificate required urgently for job.,High
671,My scholarship has not been credited yet.,High
3894,Can I change my project guide?,Medium
3103,Can I change my project guide?,Medium
2046,I need migration certificate process.,Medium
4798,How to apply for revaluation?,Medium
5954,How to apply for revaluation?,Medium
898,Request for bonafide certificate.,Medium
1259,Holiday list for this semester?,Low
2856,I missed my exam registration due to portal error.,High
96,I need migration certificate process.,Medium
3022,Urgent: hostel fee payment not updated.,High
3277,WiFi password for campus?,Low
843,How to reset student portal password?,Medium
4035,"Internship deadline today, need NOC approval.",High
2706,Degree certificate required urgently for job.,High
4976,Where to collect ID card?,Low
2619,Request for bonafide certificate.,Medium
3419,When will semester timetable be released?,Medium
4632,Bus schedule for weekend?,Low
5152,I am unable to access exam hall ticket.,High
323,WiFi password for campus?,Low
4356,My fee payment failed but amount deducted.,High
2133,How can I apply for hostel change?,Medium
3728,When does cafeteria open?,Low
335,Where is the auditorium located?,Low
2645,Bus schedule for weekend?,Low
333,I want to join a club in university.,Medium
834,What are library timings?,Low
2535,Can I change my project guide?,Medium
2168,Can I change my project guide?,Medium
2252,When will semester timetable be released?,Medium
1887,How to join sports club?,Low
2167,Degree certificate required urgently for job.,High
732,My result shows absent but I attended exam.,High
1696,Is there any AI workshop this month?,Low
292,Please update my contact number.,Medium
185,Please update my contact number.,Medium
4727,I want to change my elective subject.,Medium
4764,Is there any AI workshop this month?,Low
3212,"Internship deadline today, need NOC approval.",High
534,The assignment portal is not working before deadline.,High
2836,Any cultural events this week?,Low
2716,Any cultural events this week?,Low
3899,I am unable to access exam hall ticket.,High
3169,Urgent: hostel fee payment not updated.,High
658,Request for bonafide certificate.,Medium
1256,WiFi password for campus?,Low
2723,How to apply for revaluation?,Medium
2733,Bus schedule for weekend?,Low
2482,Holiday list for this semester?,Low
5088,My fee payment failed but amount deducted.,High
899,I need migration certificate process.,Medium
429,How to apply for revaluation?,Medium
5449,My fee payment failed but amount deducted.,High
1993,When does cafeteria open?,Low
2005,What are library timings?,Low
1437,Can I change my project guide?,Medium
5430,Any cultural events this week?,Low
1223,My fee payment failed but amount deducted.,High
2888,When does cafeteria open?,Low
2338,Bus schedule for weekend?,Low
3516,I am unable to access exam hall ticket.,High
4520,Degree certificate required urgently for job.,High
5911,I want to join a club in university.,Medium
4714,When will semester timetable be released?,Medium
2848,Please update my contact number.,Medium
4337,My fee payment failed but amount deducted.,High
3387,Please update my contact number.,Medium
1722,I want to join a club in university.,Medium
2405,Please update my contact number.,Medium
1819,When does cafeteria open?,Low
5419,I want to change my elective subject.,Medium
2677,Degree certificate required urgently for job.,High
4956,Request for bonafide certificate.,Medium
3613,Any cultural events this week?,Low
3729,Where is the auditorium located?,Low
2906,I want to change my elective subject.,Medium
1411,Where to collect ID card?,Low
4343,Can I change my project guide?,Medium
4003,Can I change my project guide?,Medium
5714,I want to change my elective subject.,Medium
2165,When will semester timetable be released?,Medium
1832,My fee payment failed but amount deducted.,High
1127,I am unable to access exam hall ticket.,High
4372,Any cultural events this week?,Low
5638,Degree certificate required urgently for job.,High
5923,I need migration certificate process.,Medium
3781,Bus schedule for weekend?,Low
305,Where is the auditorium located?,Low
1898,How to apply for revaluation?,Medium
1293,Degree certificate required urgently for job.,High
71,Can I change my project guide?,Medium
4145,I want to change my elective subject.,Medium
1306,I want to join a club in university.,Medium
2781,My result shows absent but I attended exam.,High
5252,Urgent: hostel fee payment not updated.,High
4225,How to join sports club?,Low
1666,Any cultural events this week?,Low
1341,The assignment portal is not working before deadline.,High
832,When does cafeteria open?,Low
2572,I am unable to access exam hall ticket.,High
1457,Where is the auditorium located?,Low
3208,Holiday list for this semester?,Low
3247,The assignment portal is not working before deadline.,High
239,My result shows absent but I attended exam.,High
93,Any cultural events this week?,Low
5710,Can I change my project guide?,Medium
2945,The assignment portal is not working before deadline.,High
2520,Holiday list for this semester?,Low
2772,Where to collect ID card?,Low
2604,Degree certificate required urgently for job.,High
5307,I want to change my elective subject.,Medium
3440,Can I change my project guide?,Medium
1002,Bus schedule for weekend?,Low
2043,Can I change my project guide?,Medium
5179,Degree certificate required urgently for job.,High
3429,Degree certificate required urgently for job.,High
2616,Where is the auditorium located?,Low
1505,Please update my contact number.,Medium
958,Urgent: hostel fee payment not updated.,High
3802,I need migration certificate process.,Medium
5313,The assignment portal is not working before deadline.,High
4762,WiFi password for campus?,Low
1533,Degree certificate required urgently for job.,High
2303,How to apply for revaluation?,Medium
412,"Internship deadline today, need NOC approval.",High
1406,Holiday list for this semester?,Low
3348,When will semester timetable be released?,Medium
5759,My fee payment failed but amount deducted.,High
1789,My scholarship has not been credited yet.,High
2882,How to join sports club?,Low
3051,How to reset student portal password?,Medium
2088,Urgent: hostel fee payment not updated.,High
1035,How can I apply for hostel change?,Medium
5264,My fee payment failed but amount deducted.,High
5886,What are library timings?,Low
5221,Any cultural events this week?,Low
932,How can I apply for hostel change?,Medium
5472,How to apply for revaluation?,Medium
3329,Urgent: hostel fee payment not updated.,High
634,How to apply for revaluation?,Medium
1742,Is there any AI workshop this month?,Low
499,Degree certificate required urgently for job.,High
938,Any cultural events this week?,Low
416,Request for bonafide certificate.,Medium
2329,Can I change my project guide?,Medium
3280,Holiday list for this semester?,Low
3587,When will semester timetable be released?,Medium
4368,I cannot submit my exam form and today is the last date.,High
4913,Please update my contact number.,Medium
758,Request for bonafide certificate.,Medium
1617,How to apply for revaluation?,Medium
1042,Can I change my project guide?,Medium
3632,Holiday list for this semester?,Low
4654,How to reset student portal password?,Medium
4465,Holiday list for this semester?,Low
2463,How can I apply for hostel change?,Medium
597,My fee payment failed but amount deducted.,High
4044,When will semester timetable be released?,Medium
2764,"Internship deadline today, need NOC approval.",High
1069,When will semester timetable be released?,Medium
2196,How to reset student portal password?,Medium
3040,How to join sports club?,Low
5605,My fee payment failed but amount deducted.,High
3228,My fee payment failed but amount deducted.,High
653,"Internship deadline today, need NOC approval.",High
4625,Degree certificate required urgently for job.,High
5332,The assignment portal is not working before deadline.,High
5168,Where to collect ID card?,Low
2717,I need migration certificate process.,Medium
4854,Request for bonafide certificate.,Medium
5902,My fee payment failed but amount deducted.,High
2700,How to apply for revaluation?,Medium
4546,What are library timings?,Low
76,How to reset student portal password?,Medium
3667,Please update my contact number.,Medium
5925,Can I change my project guide?,Medium
2930,When does cafeteria open?,Low
5529,Where is the auditorium located?,Low
5956,WiFi password for campus?,Low
3804,When will semester timetable be released?,Medium
5026,WiFi password for campus?,Low
5283,How can I apply for hostel change?,Medium
2485,I missed my exam registration due to portal error.,High
4792,I am unable to access exam hall ticket.,High
1011,Where is the auditorium located?,Low
1030,How to join sports club?,Low
2843,I missed my exam registration due to portal error.,High
829,I need migration certificate process.,Medium
2707,I want to change my elective subject.,Medium
1877,Bus schedule for weekend?,Low
97,WiFi password for campus?,Low
3379,My scholarship has not been credited yet.,High
4598,I need migration certificate process.,Medium
4596,How to reset student portal password?,Medium
4842,How to reset student portal password?,Medium
1201,I need migration certificate process.,Medium
622,Urgent: hostel fee payment not updated.,High
5454,What are library timings?,Low
1413,My fee payment failed but amount deducted.,High
567,I missed my exam registration due to portal error.,High
544,I want to change my elective subject.,Medium
1335,How can I apply for hostel change?,Medium
4300,How to reset student portal password?,Medium
52,Is there any AI workshop this month?,Low
5047,What are library timings?,Low
2068,"Internship deadline today, need NOC approval.",High
3873,I am unable to access exam hall ticket.,High
1559,Degree certificate required urgently for job.,High
746,Holiday list for this semester?,Low
4526,I want to change my elective subject.,Medium
4672,I am unable to access exam hall ticket.,High
1468,Bus schedule for weekend?,Low
4463,My fee payment failed but amount deducted.,High
196,My result shows absent but I attended exam.,High
3401,When will semester timetable be released?,Medium
4268,Bus schedule for weekend?,Low
3780,When does cafeteria open?,Low
803,I need migration certificate process.,Medium
1619,"Internship deadline today, need NOC approval.",High
5187,I am unable to access exam hall ticket.,High
4438,How can I apply for hostel change?,Medium
621,Holiday list for this semester?,Low
5340,Bus schedule for weekend?,Low
4149,How to apply for revaluation?,Medium
3627,"Internship deadline today, need NOC approval.",High
4113,How can I apply for hostel change?,Medium
3407,I need migration certificate process.,Medium
3385,Holiday list for this semester?,Low
645,I need migration certificate process.,Medium
2790,When does cafeteria open?,Low
5437,I want to join a club in university.,Medium
1790,Bus schedule for weekend?,Low
1062,How to apply for revaluation?,Medium
4158,Urgent: hostel fee payment not updated.,High
4600,How to reset student portal password?,Medium
121,Holiday list for this semester?,Low
2917,When does cafeteria open?,Low
3881,My fee payment failed but amount deducted.,High
4130,Bus schedule for weekend?,Low
4820,How to join sports club?,Low
3195,I missed my exam registration due to portal error.,High
1231,How to reset student portal password?,Medium
2761,When does cafeteria open?,Low
5538,Any cultural events this week?,Low
5575,Please update my contact number.,Medium
5953,Where to collect ID card?,Low
3307,WiFi password for campus?,Low
135,"Internship deadline today, need NOC approval.",High
3484,Can I change my project guide?,Medium
2580,WiFi password for campus?,Low
2841,Bus schedule for weekend?,Low
3793,My fee payment failed but amount deducted.,High
5717,Bus schedule for weekend?,Low
2219,My fee payment failed but amount deducted.,High
512,Can I change my project guide?,Medium
5985,Is there any AI workshop this month?,Low
63,Can I change my project guide?,Medium
1554,How can I apply for hostel change?,Medium
3771,Holiday list for this semester?,Low
5217,I want to join a club in university.,Medium
5589,WiFi password for campus?,Low
1719,How can I apply for hostel change?,Medium
2861,Holiday list for this semester?,Low
4371,The assignment portal is not working before deadline.,High
2096,Please update my contact number.,Medium
680,Urgent: hostel fee payment not updated.,High
3687,My fee payment failed but amount deducted.,High
1212,When will semester timetable be released?,Medium
123,My scholarship has not been credited yet.,High
2642,My fee payment failed but amount deducted.,High
3086,Request for bonafide certificate.,Medium
4078,When will semester timetable be released?,Medium
4918,When will semester timetable be released?,Medium
3177,I want to change my elective subject.,Medium
1211,WiFi password for campus?,Low
568,I need migration certificate process.,Medium
3430,I want to join a club in university.,Medium
549,How to join sports club?,Low
865,Holiday list for this semester?,Low
4540,When does cafeteria open?,Low
1393,When does cafeteria open?,Low
5726,I need migration certificate process.,Medium
2403,I cannot submit my exam form and today is the last date.,High
3985,Is there any AI workshop this month?,Low
2058,My scholarship has not been credited yet.,High
4771,How to join sports club?,Low
721,My result shows absent but I attended exam.,High
3838,When will semester timetable be released?,Medium
2883,My result shows absent but I attended exam.,High
691,"Internship deadline today, need NOC approval.",High
603,Where is the auditorium located?,Low
2216,When will semester timetable be released?,Medium
4968,My fee payment failed but amount deducted.,High
5376,How to apply for revaluation?,Medium
5016,I am unable to access exam hall ticket.,High
5578,I am unable to access exam hall ticket.,High
504,My fee payment failed but amount deducted.,High
4503,How to reset student portal password?,Medium
319,Where to collect ID card?,Low
5879,Holiday list for this semester?,Low
5514,Request for bonafide certificate.,Medium
275,The assignment portal is not working before deadline.,High
5156,Where to collect ID card?,Low
3621,How to apply for revaluation?,Medium
1362,I want to join a club in university.,Medium
4196,I missed my exam registration due to portal error.,High
1527,Degree certificate required urgently for job.,High
2367,I missed my exam registration due to portal error.,High
3376,Can I change my project guide?,Medium
4161,Where to collect ID card?,Low
2292,Request for bonafide certificate.,Medium
3289,Please update my contact number.,Medium
3876,Any cultural events this week?,Low
3559,How to reset student portal password?,Medium
5158,"Internship deadline today, need NOC approval.",High
946,Where is the auditorium located?,Low
4717,Can I change my project guide?,Medium
5782,How to apply for revaluation?,Medium
296,Where to collect ID card?,Low
3167,"Internship deadline today, need NOC approval.",High
2183,I am unable to access exam hall ticket.,High
299,How to join sports club?,Low
69,Is there any AI workshop this month?,Low
4393,Please update my contact number.,Medium
737,I missed my exam registration due to portal error.,High
3476,Degree certificate required urgently for job.,High
4267,Where to collect ID card?,Low
2989,Bus schedule for weekend?,Low
3647,I want to change my elective subject.,Medium
1504,Can I change my project guide?,Medium
2073,My scholarship has not been credited yet.,High
151,The assignment portal is not working before deadline.,High
757,My scholarship has not been credited yet.,High
5899,How can I apply for hostel change?,Medium
3502,My result shows absent but I attended exam.,High
1704,How to apply for revaluation?,Medium
5467,Where to collect ID card?,Low
2105,My fee payment failed but amount deducted.,High
170,I missed my exam registration due to portal error.,High
2155,Holiday list for this semester?,Low
377,I need migration certificate process.,Medium
2026,When will semester timetable be released?,Medium
860,Request for bonafide certificate.,Medium
2688,Please update my contact number.,Medium
5036,Where is the auditorium located?,Low
5349,Where is the auditorium located?,Low
379,Can I change my project guide?,Medium
4784,How to reset student portal password?,Medium
5457,WiFi password for campus?,Low
1295,"Internship deadline today, need NOC approval.",High
4972,I am unable to access exam hall ticket.,High
1433,I want to join a club in university.,Medium
5326,My scholarship has not been credited yet.,High
5860,When will semester timetable be released?,Medium
2943,Please update my contact number.,Medium
1780,What are library timings?,Low
3389,Is there any AI workshop this month?,Low
5163,I missed my exam registration due to portal error.,High
5136,Bus schedule for weekend?,Low
3544,Any cultural events this week?,Low
842,How to reset student portal password?,Medium
2573,Is there any AI workshop this month?,Low
1190,My scholarship has not been credited yet.,High
176,Is there any AI workshop this month?,Low
4776,How can I apply for hostel change?,Medium
928,Is there any AI workshop this month?,Low
3259,How to apply for revaluation?,Medium
46,My fee payment failed but amount deducted.,High
1261,My result shows absent but I attended exam.,High
1097,The assignment portal is not working before deadline.,High
1444,My result shows absent but I attended exam.,High
2108,When will semester timetable be released?,Medium
5004,What are library timings?,Low
1188,My fee payment failed but amount deducted.,High
5094,Can I change my project guide?,Medium
3788,Where is the auditorium located?,Low
1031,My result shows absent but I attended exam.,High
4818,I am unable to access exam hall ticket.,High
301,The assignment portal is not working before deadline.,High
2524,My scholarship has not been credited yet.,High
1473,How to reset student portal password?,Medium
284,Is there any AI workshop this month?,Low
4383,Bus schedule for weekend?,Low
2481,The assignment portal is not working before deadline.,High
4756,Bus schedule for weekend?,Low
3347,Bus schedule for weekend?,Low
1814,My scholarship has not been credited yet.,High
3888,Bus schedule for weekend?,Low
4314,Can I change my project guide?,Medium
4142,What are library timings?,Low
5062,Is there any AI workshop this month?,Low
4828,Please update my contact number.,Medium
2933,My scholarship has not been credited yet.,High
2120,Is there any AI workshop this month?,Low
5658,I am unable to access exam hall ticket.,High
4815,Please update my contact number.,Medium
3808,I missed my exam registration due to portal error.,High
5706,Please update my contact number.,Medium
5775,How to reset student portal password?,Medium
2331,What are library timings?,Low
2030,How to join sports club?,Low
5465,Please update my contact number.,Medium
258,My fee payment failed but amount deducted.,High
508,I want to join a club in university.,Medium
1943,Degree certificate required urgently for job.,High
100,I cannot submit my exam form and today is the last date.,High
2956,How can I apply for hostel change?,Medium
745,I need migration certificate process.,Medium
4571,Where to collect ID card?,Low
5553,Is there any AI workshop this month?,Low
1376,How to reset student portal password?,Medium
3867,My result shows absent but I attended exam.,High
3820,Is there any AI workshop this month?,Low
3683,My scholarship has not been credited yet.,High
1955,"Internship deadline today, need NOC approval.",High
4747,Where is the auditorium located?,Low
1158,I need migration certificate process.,Medium
4369,My scholarship has not been credited yet.,High
3366,How to reset student portal password?,Medium
4906,How to join sports club?,Low
1438,Degree certificate required urgently for job.,High
367,Can I change my project guide?,Medium
4814,Request for bonafide certificate.,Medium
2942,My scholarship has not been credited yet.,High
403,My fee payment failed but amount deducted.,High
4645,Any cultural events this week?,Low
5655,I want to change my elective subject.,Medium
950,How to apply for revaluation?,Medium
2782,When will semester timetable be released?,Medium
20,How to join sports club?,Low
230,WiFi password for campus?,Low
4188,I missed my exam registration due to portal error.,High
669,How can I apply for hostel change?,Medium
219,Request for bonafide certificate.,Medium
5008,Holiday list for this semester?,Low
4025,When will semester timetable be released?,Medium
3572,My result shows absent but I attended exam.,High
2514,The assignment portal is not working before deadline.,High
4391,I am unable to access exam hall ticket.,High
586,How to join sports club?,Low
